#||pos (a.u.)||, ||vel (m/s)||
1.4874825111087733,24697.736451554003
1.4680804203969946,25014.060240283245
1.4490905430321077,25329.608172898745
1.4307149196367857,25641.034508743556
1.4131641417456424,25944.639083544687
1.3966542751036415,26236.400672022453
1.381402875677932,26512.037592366374
1.3676241078459825,26767.099672074128
1.3555230649933738,26997.093022014567
1.3452895009094274,27197.635655299913
1.337091295889519,27364.63741687134
1.3310680849809151,27494.4922549055
1.3273255373367996,27584.26568103033
1.3259307673945142,27631.858744888756
1.3269092887125225,27636.132697112327
1.3302438102326961,27596.981763267482
1.3358750219501516,27515.342000726327
1.3437042954196046,27393.13280396275
1.35359802462461,27233.139697034527
1.3653931906386454,27038.85340970155
1.3789036601588154,26814.283624148822
1.3939267247584683,26563.766186795838
1.4102494435366737,26291.780297655798
1.42765444708763,26002.788100559963
1.445924974635849,25701.10425031894
1.4648490264721492,25390.798056478583
1.484222605063199,25075.6271524208
1.5038520886117421,24758.999543347003
1.5235558300083145,24443.95919572108
1.5431650983361653,24133.189532107026
1.5625244865137333,23829.029748769306
1.5814919044471993,23533.49954689475
1.5999382654914405,23248.32859889415
1.6177469581653567,22974.987935645004
1.634813179125576,22714.72127925352
1.6510431877760439,22468.574883381745
1.6663535283736677,22237.4250397234
1.680670253602682,22022.002838986005
1.693928174027492,21822.916025512062
1.7060701498423663,21640.66793950187
1.7170464350126655,21475.67382137897
1.726814081207708,21328.274811867068
1.7353364062140204,21198.749637575933
1.74258252754858,21087.324247186523
1.7485269612197991,20994.17978117528
1.753149285248807,20919.45903761422
1.7564338669922184,20863.27161227021
1.7583696532708513,20825.697895426743
1.7589500229015234,20806.792076318052
1.7581727025582077,20806.584160239538
1.7560397469455136,20825.08059353411
1.7525575777256661,20862.26350570429
1.7477370776538144,20918.0900946458
1.7415937476255279,20992.491712215142
1.734147933293658,21085.37112006818
1.725425119936858,21196.59770632716
1.7154562907582713,21326.001497346977
1.7042783467182432,21473.366584020354
1.6919345909473331,21638.42364928814
1.6784752815852573,21820.84070210761
1.6639582538913618,22020.211443326345
1.6484496082707878,22236.040868049702
1.6320244539672148,22467.72826088812
1.6147676966500486,22714.547637090025
1.5967748518694427,22975.62521311348
1.5781528573666148,23249.914002093577
1.5590208472655593,23536.165748410756
1.5395108387551515,23832.90065460909
1.5197682671147483,24138.375750850733
1.4999522882044534,24450.553297244962
1.4802357505020614,24767.07133650035
1.4608047239121287,25085.219173750476
1.4418574604863192,25401.92138756695
1.4236026581098733,25713.7348345436
1.406256906583403,26016.86389289245
1.390041224520321,26307.199557065254
1.375176648817163,26580.387136399095
1.3618789151038928,26831.9259135377
1.3503523683547582,27057.301700183398
1.3407833594119238,27252.149355237856
1.3333335000947613,27412.437718163594
1.328133246916809,27534.664311611676
1.325276334330069,27616.04293536996
1.3248155639686297,27654.664908940555
1.3267603642386134,27649.6149092372
1.3310763651697275,27601.026434099767
1.3376870168722588,27510.070805655032
1.346477072783335,27378.88334819365
1.3572975995028336,27210.436834617467
1.3699720659353725,27008.374385857634
1.3843029940572165,26776.819187671314
1.4000786697345122,26520.180982479495
1.4170794912997908,26242.975776303803
1.4350836458010137,25949.670355511167
1.4538719233653787,25644.558025304774
1.4732315901416626,25331.667388665184
1.4929593286463658,25014.70248891269
1.5128633180596773,24697.010429325495
1.53276456484967,24381.570950021458
1.552497606422096,24071.002840454134
1.5719107177622442,23767.582554202847
1.5908657409220457,23473.270190744894
1.6092376414817817,23189.73956419057
1.6269138798915206,22918.40979866151
1.6437936688536197,22660.476569500846
1.6597871722836042,22416.941735196462
1.6748146875884724,22188.640604170618
1.6888058418368421,21976.266513270846
1.7016988240770954,21780.392568859643
1.7134396684705022,21601.49051368005
1.7239815970711787,21439.946871157514
1.733284426979745,21296.07667769843
1.741314044713257,21170.135119900377
1.748041949157243,21062.327219321724
1.7534448628605381,20972.815755780684
1.7575044107007105,20901.727656916504
1.7602068644792948,20849.15903400555
1.7615429521004555,20815.17907767044
1.761507730922668,20799.832922085894
1.7601005255639501,20803.143539431003
1.7573249318052973,20825.112576056446
1.7531888875156816,20865.719673110238
1.7477048055419788,20924.92037083298
1.740889764288138,21002.643992658068
1.7327657629056765,21098.79134813886
1.7233600485929434,21213.230708738512
1.7127055162251685,21345.791920466927
1.7008411792301121,21496.259162991773
1.6878127121372515,21664.362252187457
1.6736730647722224,21849.766217215136
1.6584831466504588,22052.058899378306
1.6423125779950076,22270.73629825794
1.6252405007300001,22505.1853266312
1.6073564382896577,22754.663495156536
1.588761183257001,23018.274895640232
1.5695676762845605,23294.94309306364
1.549901829319116,23583.38172421113
1.5299032320588273,23882.06403813664
1.5097256712601623,24189.19227212731
1.4895373773253555,24502.667363718603
1.4695208911583242,24820.060635997375
1.4498724240633565,25138.590533834657
1.4308005705510007,25455.108540959158
1.4125242328644545,25766.099188156142
1.395269633795588,26067.69946522338
1.3792663313756988,26355.7426051056
1.3647422110262044,26625.831504254445
1.3519175303263355,26873.444962744463
1.3409982104588714,27094.076488142055
1.3321686987434114,27283.401975801
1.3255848514629995,27437.467662827054
1.321367377113278,27552.884763771242
1.319596410143929,27627.01330928421
1.320307734768577,27658.116097250702
1.3234910459979572,27645.465111609243
1.329090434958766,27589.387192185357
1.3370070504593228,27491.24294515602
1.3471036610325267,27353.341019364747
1.3592106568689086,27178.79789517963
1.3731329217026906,26971.360889224285
1.3886570006023176,26735.216219035934
1.4055580743420502,26474.79999809266
1.4236063586776597,26194.624026410856
1.4425726599943909,25899.126260896075
1.4622329426032024,25592.552592650118
