#||pos (a.u.)||, ||vel (m/s)||
5.012919968892453,13547.299622415765
5.0149519737241315,13542.016386960822
5.017025782982056,13536.625367133383
5.019140843281146,13531.12816202218
5.0212965913031065,13525.526397497344
5.023492454082203,13519.821723748539
5.025727849293574,13514.015810184685
5.028002185519676,13508.110342246957
5.030314862495232,13502.107020074303
5.032665271332587,13496.007558327818
5.035052794733771,13489.813687122267
5.037476807199323,13483.527153371162
5.0399366752420605,13477.14972169255
5.042431757606773,13470.683174568774
5.044961405495847,13464.129312854264
5.0475249628143635,13457.489955780826
5.050121766426758,13450.766939093179
5.0527511464148445,13443.9621136588
5.055412426339178,13437.077344617244
5.058104923506425,13430.11451019441
5.060827949241104,13423.07549982955
5.063580809156045,13415.962211794653
5.066362803413406,13408.776550725583
5.069173226963953,13401.520425904766
5.072011369764032,13394.195752177451
5.074876516990237,13386.8044518008
5.077767949260467,13379.348455395544
5.080684942864959,13371.829702025634
5.083626770008185,13364.250138412528
5.086592699058728,13356.611717501122
5.089581994801723,13348.916396748196
5.092593918689218,13341.166136489006
5.095627729085461,13333.362898178362
5.09868268149627,13325.508642869898
5.101758028783985,13317.60533143332
5.104853021378891,13309.65492488203
5.107966907489262,13301.659384298862
5.111098933309966,13293.620670547121
5.114248343228302,13285.540743877793
5.117414380025073,13277.4215637544
5.120596285071654,13269.265089379864
5.1237932985325685,13261.0732807821
5.127004659583139,13252.848098637483
5.130229606632582,13244.591503277798
5.133467377554685,13236.30545404107
5.136717209928854,13227.991907424854
5.139978341283364,13219.652813848228
5.143250009325353,13211.290113933113
5.146531452142023,13202.905735849716
5.149821908365615,13194.501595005246
5.153120617307406,13186.07959671161
5.156426819090599,13177.64164092256
5.15973975481014,13169.189624103103
5.163058666710585,13160.72543847523
5.166382798373796,13152.250970571984
5.169711394908221,13143.768099542376
5.173043703133341,13135.278695803096
5.176378971757492,13126.78462024422
5.179716451551481,13118.287723759186
5.18305539551948,13109.789846260937
5.186395059055675,13101.292815666375
5.1897347000935,13092.798449015647
5.193073579259683,13084.308552249404
5.1964109600239565,13075.824919519175
5.199746108843189,13067.34933299507
5.203078295301311,13058.883562885445
5.206406792246367,13050.429367591021
5.209730875926684,13041.988494047393
5.213049826131792,13033.56267822213
5.2163629263454805,13025.153644397875
5.219669463895467,13016.763103025947
5.222968730098021,13008.392749845361
5.2262600203962775,13000.044263726972
5.229542634474899,12991.719305140457
5.232815876348692,12983.41951718047
5.236079054440785,12975.14652833039
5.239331481668989,12966.901954660772
5.242572475545895,12958.687400272353
5.245801358289701,12950.504456923443
5.249017456945203,12942.354702571987
5.252220103493737,12934.239699473545
5.255408634951742,12926.160994660857
5.258582393468971,12918.120120518632
5.261740726428745,12910.118594872918
5.264882986550849,12902.15792072797
5.268008531996378,12894.239585521693
5.271116726470588,12886.365059840966
5.274206939315556,12878.535796078648
5.277278545590814,12870.753228299429
5.2803309261495865,12863.018771995363
5.283363467700227,12855.333823825087
5.286375562855032,12847.699763090886
5.289366610178654,12840.117953740793
5.292336014245447,12832.58974584168
5.2952831857111855,12825.116476028443
5.298207541399245,12817.69946644679
5.301108504390865,12810.340021998301
5.303985504095862,12803.03942750958
5.306837976295167,12795.798948069734
5.309665363171661,12788.619831426055
5.3124671133448915,12781.503310289147
5.3152426819191065,12774.45060324915
5.317991530542674,12767.46291431484
5.320713127472129,12760.541431978756
5.3234069476361086,12753.68732840324
5.326072472697896,12746.901758765593
5.328709191114617,12740.185860354384
5.331316598184795,12733.540752086565
5.3338941960899,12726.967535168162
5.336441493936192,12720.467293324142
5.338958007795333,12714.041092617796
5.341443260741455,12707.689981162583
5.343896782882381,12701.414988956045
5.346318111383975,12695.217128098519
5.348706790489686,12689.097393492964
5.351062371541627,12683.05676360762
5.353384413003793,12677.096200395355
5.355672480480077,12671.216649784912
5.357926146736526,12665.419042947973
5.360144991736546,12659.704296711703
5.362328602688437,12654.073312356404
5.364476574091806,12648.526973070026
5.366588507763509,12643.066142185746
5.368664012838322,12637.691664346781
5.3707027057626755,12632.404369004382
5.372704210310319,12627.205072941266
5.374668157621252,12622.094579064587
5.376594186244291,12617.073674356245
5.378481942175207,12612.143128331772
5.380331078885857,12607.303692120371
5.382141257343194,12602.556098336336
5.383912146020877,12597.901061577477
5.3856434209080035,12593.339279001906
5.387334765514548,12588.871430403462
5.38898587086824,12584.498179004642
5.390596435517314,12580.22017283908
5.392166165539487,12576.03804435858
5.3936947745488375,12571.95241018153
5.3951819837004615,12567.963871177612
5.396627521693164,12564.07301270081
5.398031124770746,12560.280405073416
5.399392536724767,12556.58660446436
5.400711508906815,12552.992153858273
5.401987800255166,12549.497582653816
5.403221177326525,12546.103405745216
5.404411414336785,12542.810121859662
5.405558293190931,12539.618210464385
5.406661603484703,12536.528131218018
5.407721142488406,12533.540326227798
5.408736715132448,12530.655222523277
5.409708134003539,12527.873233134298
5.410635219349933,12525.194757162433
5.411517799095935,12522.620179575075
5.4123557088618055,12520.149869644212
5.41314879197217,12517.784180269813
5.413896899461983,12515.52344857793
5.414599890083102,12513.367995862398
5.415257630308984,12511.318127448567
5.415869994336821,12509.374132719751
5.416436864087293,12507.536285251219
5.416958129201595,12505.804843017206
5.41743368703503,12504.180048973336
5.417863442655536,12502.662132081314
5.418247308849028,12501.251306802807
5.4185852061191255,12499.947773005375
5.418877062686974,12498.751716904257
5.419122814498448,12497.663311802726
5.419322405243898,12496.682718305801
5.419475786393629,12495.810083381964
5.419582917242208,12495.045537638222
5.419643764939955,12494.38919183073
5.41965830449076,12493.841135780653
