t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -8308708 -5460721
50 -4668173 -1 379733827 101 -7848495 -5753139
100 -4668173 -1 379733827 101 -7377211 -6025522
150 -4668173 -1 379733827 101 -6896639 -6277235
200 -4668173 -1 379733827 101 -6408617 -6507936
250 -4668173 -1 379733827 101 -5914975 -6717578
300 -4668173 -1 379733827 101 -5417482 -6906383
350 -4668173 -1 379733827 101 -4917797 -7074809
400 -4668173 -1 379733827 101 -4417440 -7223509
450 -4668173 -1 379733826 101 -3917766 -7353288
500 -4668173 -1 379733826 101 -3419963 -7465061
550 -4668173 -1 379733826 101 -2925042 -7559812
600 -4668173 -1 379733826 101 -2433851 -7638562
650 -4668173 -1 379733826 101 -1947084 -7702342
700 -4668173 -1 379733826 101 -1465296 -7752168
750 -4668173 -1 379733826 101 -988919 -7789027
800 -4668173 -1 379733826 101 -518278 -7813866
850 -4668173 -1 379733826 101 -53607 -7827583
900 -4668173 -1 379733825 101 404938 -7831021
950 -4668173 -1 379733825 101 857264 -7824969
1000 -4668173 -1 379733825 101 1303333 -7810162
1050 -4668173 -1 379733825 101 1743148 -7787278
1100 -4668173 -1 379733825 101 2176747 -7756946
1150 -4668173 -1 379733825 101 2604197 -7719743
1200 -4668173 -1 379733824 101 3025584 -7676201
1250 -4668173 -1 379733824 101 3441012 -7626809
1300 -4668173 -1 379733824 101 3850598 -7572014
1350 -4668173 -1 379733824 101 4254466 -7512229
1400 -4668173 -1 379733824 101 4652748 -7447831
1450 -4668173 -1 379733823 101 5045579 -7379166
1500 -4668173 -1 379733823 101 5433097 -7306552
1550 -4668173 -1 379733823 101 5815439 -7230281
1600 -4668173 -1 379733823 101 6192745 -7150622
1650 -4668173 -1 379733823 101 6565150 -7067820
1700 -4668173 -1 379733822 101 6932789 -6982102
1750 -4668173 -1 379733822 101 7295794 -6893677
1800 -4668173 -1 379733822 101 7654294 -6802738
1850 -4668173 -1 379733821 101 8008416 -6709462
1900 -4668173 -1 379733821 101 8358281 -6614013
1950 -4668173 -1 379733821 101 8704009 -6516542
2000 -4668173 -1 379733821 101 9045714 -6417188
2050 -4668173 -1 379733820 101 9383510 -6316083
2100 -4668173 -1 379733820 101 9717503 -6213345
2150 -4668173 -1 379733820 101 10047797 -6109085
2200 -4668173 -1 379733819 101 10374495 -6003408
2250 -4668173 -1 379733819 101 10697693 -5896409
2300 -4668173 -1 379733819 101 11017485 -5788177
2350 -4668173 -1 379733818 101 11333961 -5678795
2400 -4668173 -1 379733818 101 11647210 -5568341
2450 -4668173 -1 379733818 101 11957315 -5456887
2500 -4668173 -1 379733817 101 12264358 -5344500
2550 -4668173 -1 379733817 101 12568416 -5231242
2600 -4668173 -1 379733816 101 12869566 -5117173
2650 -4668173 -1 379733816 101 13167881 -5002347
2700 -4668173 -1 379733816 101 13463430 -4886816
2750 -4668173 -1 379733815 101 13756282 -4770628
2800 -4668173 -1 379733815 101 14046501 -4653827
2850 -4668173 -1 379733814 101 14334152 -4536457
2900 -4668173 -1 379733814 101 14619294 -4418557
2950 -4668173 -1 379733813 101 14901988 -4300164
3000 -4668173 -1 379733813 101 15182289 -4181313
3050 -4668173 -1 379733813 101 15460252 -4062037
3100 -4668173 -1 379733812 101 15735931 -3942367
3150 -4668173 -1 379733812 101 16009376 -3822333
3200 -4668173 -1 379733811 101 16280638 -3701962
3250 -4668173 -1 379733811 101 16549763 -3581279
3300 -4668173 -1 379733810 101 16816799 -3460309
3350 -4668173 -1 379733810 101 17081790 -3339076
3400 -4668173 -1 379733809 101 17344780 -3217601
3450 -4668173 -1 379733809 101 17605810 -3095904
3500 -4668173 -1 379733808 101 17864921 -2974005
3550 -4668173 -1 379733808 101 18122152 -2851923
3600 -4668173 -1 379733807 101 18377542 -2729674
3650 -4668173 -1 379733806 101 18631127 -2607275
3700 -4668173 -1 379733806 101 18882943 -2484742
3750 -4668173 -1 379733805 101 19133026 -2362090
3800 -4668173 -1 379733805 101 19381408 -2239331
3850 -4668173 -1 379733804 101 19628122 -2116481
3900 -4668173 -1 379733804 101 19873200 -1993550
3950 -4668173 -1 379733803 101 20116674 -1870551
4000 -4668173 -1 379733802 101 20358572 -1747496
4050 -4668173 -1 379733802 101 20598923 -1624395
4100 -4668173 -1 379733801 101 20837757 -1501257
4150 -4668173 -1 379733801 101 21075100 -1378094
4200 -4668173 -1 379733800 101 21310979 -1254913
4250 -4668173 -1 379733799 101 21545420 -1131724
4300 -4668173 -1 379733799 101 21778448 -1008534
4350 -4668173 -1 379733798 101 22010087 -885352
4400 -4668173 -1 379733797 101 22240362 -762186
4450 -4668173 -1 379733797 101 22469296 -639041
4500 -4668173 -1 379733796 101 22696911 -515926
4550 -4668173 -1 379733795 101 22923229 -392846
4600 -4668173 -1 379733795 101 23148272 -269807
4650 -4668173 -1 379733794 101 23372060 -146816
4700 -4668173 -1 379733793 101 23594614 -23877
4750 -4668173 -1 379733793 101 23815954 99004
4800 -4668173 -1 379733792 101 24036099 221821
4850 -4668173 -1 379733791 101 24255068 344571
4900 -4668173 -1 379733790 101 24472879 467248
