t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -8308706 -5460723
50 -4668173 -1 379733827 101 -7847620 -5753722
100 -4668173 -1 379733827 101 -7375467 -6026688
150 -4668173 -1 379733827 101 -6894033 -6278981
200 -4668173 -1 379733827 101 -6405161 -6510265
250 -4668173 -1 379733827 101 -5910684 -6720496
300 -4668173 -1 379733827 101 -5412373 -6909900
350 -4668173 -1 379733827 101 -4911888 -7078941
400 -4668173 -1 379733827 101 -4410748 -7228277
450 -4668173 -1 379733826 101 -3910309 -7358720
500 -4668173 -1 379733826 101 -3411753 -7471189
550 -4668173 -1 379733826 101 -2916090 -7566672
600 -4668173 -1 379733826 101 -2424164 -7646194
650 -4668173 -1 379733826 101 -1936665 -7710787
700 -4668173 -1 379733826 101 -1454143 -7761471
750 -4668173 -1 379733826 101 -977026 -7799232
800 -4668173 -1 379733826 101 -505636 -7825018
850 -4668173 -1 379733826 101 -40202 -7839726
900 -4668173 -1 379733825 101 419123 -7844198
950 -4668173 -1 379733825 101 872249 -7839222
1000 -4668173 -1 379733825 101 1319140 -7825531
1050 -4668173 -1 379733825 101 1759801 -7803802
1100 -4668173 -1 379733825 101 2194274 -7774661
1150 -4668173 -1 379733825 101 2622625 -7738684
1200 -4668173 -1 379733824 101 3044944 -7696400
1250 -4668173 -1 379733824 101 3461334 -7648296
1300 -4668173 -1 379733824 101 3871912 -7594819
1350 -4668173 -1 379733824 101 4276806 -7536378
1400 -4668173 -1 379733824 101 4676146 -7473348
1450 -4668173 -1 379733823 101 5070067 -7406074
1500 -4668173 -1 379733823 101 5458708 -7334873
1550 -4668173 -1 379733823 101 5842208 -7260034
1600 -4668173 -1 379733823 101 6220703 -7181824
1650 -4668173 -1 379733823 101 6594330 -7100488
1700 -4668173 -1 379733822 101 6963224 -7016251
1750 -4668173 -1 379733822 101 7327516 -6929321
1800 -4668173 -1 379733822 101 7687335 -6839889
1850 -4668173 -1 379733821 101 8042807 -6748132
1900 -4668173 -1 379733821 101 8394054 -6654212
1950 -4668173 -1 379733821 101 8741194 -6558279
2000 -4668173 -1 379733821 101 9084343 -6460472
