t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -8308706 -5460722
50 -4668173 -1 379733827 101 -7847912 -5753528
100 -4668173 -1 379733827 101 -7376048 -6026299
150 -4668173 -1 379733827 101 -6894902 -6278399
200 -4668173 -1 379733827 101 -6406313 -6509488
250 -4668173 -1 379733827 101 -5912115 -6719523
300 -4668173 -1 379733827 101 -5414076 -6908727
350 -4668173 -1 379733827 101 -4913857 -7077563
400 -4668173 -1 379733827 101 -4412978 -7226688
450 -4668173 -1 379733826 101 -3912795 -7356910
500 -4668173 -1 379733826 101 -3414490 -7469146
550 -4668173 -1 379733826 101 -2919074 -7564385
600 -4668173 -1 379733826 101 -2427393 -7643650
650 -4668173 -1 379733826 101 -1940138 -7707972
700 -4668173 -1 379733826 101 -1457861 -7758370
750 -4668173 -1 379733826 101 -980991 -7795831
800 -4668173 -1 379733826 101 -509850 -7821301
850 -4668173 -1 379733826 101 -44671 -7835678
900 -4668173 -1 379733825 101 414394 -7839806
950 -4668173 -1 379733825 101 867253 -7834472
1000 -4668173 -1 379733825 101 1313870 -7820409
1050 -4668173 -1 379733825 101 1754250 -7798295
1100 -4668173 -1 379733825 101 2188431 -7768757
1150 -4668173 -1 379733825 101 2616482 -7732372
1200 -4668173 -1 379733824 101 3038490 -7689669
1250 -4668173 -1 379733824 101 3454559 -7641136
1300 -4668173 -1 379733824 101 3864807 -7587220
1350 -4668173 -1 379733824 101 4269359 -7528331
1400 -4668173 -1 379733824 101 4668346 -7464846
1450 -4668173 -1 379733823 101 5061905 -7397109
1500 -4668173 -1 379733823 101 5450172 -7325437
1550 -4668173 -1 379733823 101 5833286 -7250121
1600 -4668173 -1 379733823 101 6211384 -7171428
1650 -4668173 -1 379733823 101 6584605 -7089604
1700 -4668173 -1 379733822 101 6953081 -7004874
1750 -4668173 -1 379733822 101 7316944 -6917447
1800 -4668173 -1 379733822 101 7676324 -6827513
1850 -4668173 -1 379733821 101 8031347 -6735250
1900 -4668173 -1 379733821 101 8382134 -6640820
1950 -4668173 -1 379733821 101 8728804 -6544375
2000 -4668173 -1 379733821 101 9071472 -6446054
2050 -4668173 -1 379733820 101 9410250 -6345984
2100 -4668173 -1 379733820 101 9745245 -6244287
2150 -4668173 -1 379733820 101 10076562 -6141073
2200 -4668173 -1 379733819 101 10404300 -6036444
2250 -4668173 -1 379733819 101 10728558 -5930496
2300 -4668173 -1 379733819 101 11049428 -5823317
2350 -4668173 -1 379733818 101 11367000 -5714992
2400 -4668173 -1 379733818 101 11681363 -5605595
2450 -4668173 -1 379733818 101 11992600 -5495200
2500 -4668173 -1 379733817 101 12300791 -5383873
2550 -4668173 -1 379733817 101 12606015 -5271676
2600 -4668173 -1 379733816 101 12908347 -5158668
2650 -4668173 -1 379733816 101 13207860 -5044904
2700 -4668173 -1 379733816 101 13504624 -4930435
2750 -4668173 -1 379733815 101 13798706 -4815308
2800 -4668173 -1 379733815 101 14090171 -4699569
2850 -4668173 -1 379733814 101 14379083 -4583259
2900 -4668173 -1 379733814 101 14665501 -4466419
2950 -4668173 -1 379733813 101 14949485 -4349084
3000 -4668173 -1 379733813 101 15231091 -4231291
3050 -4668173 -1 379733813 101 15510373 -4113072
3100 -4668173 -1 379733812 101 15787385 -3994457
3150 -4668173 -1 379733812 101 16062178 -3875476
3200 -4668173 -1 379733811 101 16334799 -3756156
3250 -4668173 -1 379733811 101 16605299 -3636523
3300 -4668173 -1 379733810 101 16873721 -3516601
3350 -4668173 -1 379733810 101 17140112 -3396414
3400 -4668173 -1 379733809 101 17404513 -3275982
3450 -4668173 -1 379733809 101 17666967 -3155327
3500 -4668173 -1 379733808 101 17927515 -3034467
