t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -8308707 -5460722
50 -4668173 -1 379733827 101 -7848078 -5753417
100 -4668173 -1 379733827 101 -7376380 -6026077
150 -4668173 -1 379733827 101 -6895398 -6278066
200 -4668173 -1 379733827 101 -6406971 -6509045
250 -4668173 -1 379733827 101 -5912932 -6718967
300 -4668173 -1 379733827 101 -5415049 -6908057
350 -4668173 -1 379733827 101 -4914983 -7076776
400 -4668173 -1 379733827 101 -4414253 -7225780
450 -4668173 -1 379733826 101 -3914215 -7355875
500 -4668173 -1 379733826 101 -3416053 -7467979
550 -4668173 -1 379733826 101 -2920779 -7563079
600 -4668173 -1 379733826 101 -2429238 -7642196
650 -4668173 -1 379733826 101 -1942122 -7706364
700 -4668173 -1 379733826 101 -1459985 -7756598
750 -4668173 -1 379733826 101 -983256 -7793887
800 -4668173 -1 379733826 101 -512258 -7819177
850 -4668173 -1 379733826 101 -47224 -7833366
900 -4668173 -1 379733825 101 411692 -7837296
950 -4668173 -1 379733825 101 864399 -7831757
1000 -4668173 -1 379733825 101 1310859 -7817481
1050 -4668173 -1 379733825 101 1751077 -7795148
1100 -4668173 -1 379733825 101 2185093 -7765383
1150 -4668173 -1 379733825 101 2612972 -7728764
1200 -4668173 -1 379733824 101 3034802 -7685822
1250 -4668173 -1 379733824 101 3450688 -7637043
1300 -4668173 -1 379733824 101 3860747 -7582877
1350 -4668173 -1 379733824 101 4265104 -7523732
1400 -4668173 -1 379733824 101 4663889 -7459986
1450 -4668173 -1 379733823 101 5057240 -7391984
1500 -4668173 -1 379733823 101 5445293 -7320043
1550 -4668173 -1 379733823 101 5828187 -7244455
1600 -4668173 -1 379733823 101 6206059 -7165486
1650 -4668173 -1 379733823 101 6579047 -7083382
1700 -4668173 -1 379733822 101 6947284 -6998370
1750 -4668173 -1 379733822 101 7310902 -6910658
1800 -4668173 -1 379733822 101 7670031 -6820437
1850 -4668173 -1 379733821 101 8024796 -6727885
1900 -4668173 -1 379733821 101 8375320 -6633164
1950 -4668173 -1 379733821 101 8721721 -6536426
2000 -4668173 -1 379733821 101 9064115 -6437810
2050 -4668173 -1 379733820 101 9402612 -6337445
