"spkid","neo","pha","full_name","diameter","class","H","G","albedo","BV","UB","e","a","q","i","per_y","moid","ad","first_obs"
3371361,Y,N,"       (2007 EE126)",,APO,25.60,,,,,0.9033,3.617,0.350,8.54,6.88,0.00153,6.88,2007-03-15
3371362,Y,N,"       (2007 EF126)",,APO,19.80,,,,,0.5933,2.466,1.003,9.51,3.87,0.137,3.93,2007-03-15
3371363,Y,N,"       (2007 FB)",,APO,26.20,,,,,0.2632,1.312,0.967,5.81,1.5,0.0278,1.66,2007-03-16
3371364,Y,N,"       (2007 FC)",,APO,26.10,,,,,0.4253,1.714,0.985,4.65,2.24,0.0367,2.44,2007-03-16
3371669,Y,Y,"       (2007 FF1)",,APO,21.86,,,,,0.4825,1.52,0.787,8.23,1.87,0.0352,2.25,2007-03-17
3371670,Y,N,"       (2007 FG1)",,APO,24.60,,,,,0.4778,1.944,1.015,9.29,2.71,0.0219,2.87,2007-03-17
3371671,Y,N,"       (2007 FH1)",,AMO,20.50,,,,,0.3867,1.728,1.060,22.77,2.27,0.147,2.40,2007-03-17
3371672,Y,N,"       (2007 FJ1)",,AMO,23.80,,,,,0.4016,1.799,1.077,3.33,2.41,0.0916,2.52,2007-03-17
3371673,Y,N,"       (2007 FK1)",,AMO,20.27,,,,,0.5684,2.496,1.077,3.35,3.94,0.0819,3.92,2007-03-17
3371743,Y,N,"       (2007 FC3)",,APO,25.50,,,,,0.3153,1.344,0.920,25.17,1.56,0.00483,1.77,2007-03-18
3371744,Y,N,"       (2007 FD3)",,AMO,20.00,,,,,0.5328,2.218,1.036,33.98,3.3,0.112,3.40,2007-03-19
3372208,Y,N,"       (2007 FK3)",,AMO,19.20,,,,,0.4554,2.308,1.257,7.06,3.51,0.28,3.36,2007-01-16
3372211,Y,N,"       (2007 FN3)",,ATE,23.30,,,,,0.2652,0.9946,0.731,48.59,0.992,0.147,1.26,2007-03-20
3372212,Y,N,"       (2007 FO3)",,APO,24.50,,,,,0.2974,1.27,0.893,6.33,1.43,0.0411,1.65,2007-03-20
3372213,Y,N,"       (2007 FP3)",,APO,28.40,,,,,0.4036,1.414,0.843,0.24,1.68,0.000107,1.98,2007-03-20
3372214,Y,N,"       (2007 FQ3)",,AMO,25.60,,,,,0.5359,2.28,1.058,1.94,3.44,0.0604,3.50,2007-03-20
3372215,Y,N,"       (2007 FR3)",,APO,27.50,,,,,0.5044,1.859,0.921,1.63,2.53,0.00173,2.80,2007-03-20
3372216,Y,N,"       (2007 FS3)",,APO,26.10,,,,,0.4183,1.587,0.923,3.22,2,0.00556,2.25,2007-03-20
3372217,Y,Y,"       (2007 FT3)",,APO,20.00,,,,,0.3078,1.13,0.782,26.87,1.2,0.0145,1.48,2007-03-20
3372653,Y,N,"       (2007 FL18)",,AMO,19.70,,,,,0.6317,3.262,1.201,26.22,5.89,0.317,5.32,2007-03-21
3372733,Y,N,"       (2007 FY20)",,APO,25.00,,,,,0.3870,1.459,0.894,5.37,1.76,0.0019,2.02,2007-03-26
3373097,Y,N,"       (2007 GC)",,AMO,21.30,,,,,0.4580,2.002,1.085,8.15,2.83,0.134,2.92,2007-04-07
3373174,Y,N,"       (2007 GF)",,APO,21.10,,,,,0.3784,1.3,0.808,18.88,1.48,0.128,1.79,2007-04-07
3373617,Y,N,"       (2007 GU1)",,APO,24.99,,,,,0.6400,2.185,0.786,9.11,3.23,0.000392,3.58,2007-04-11
3373618,Y,N,"       (2007 GY1)",,APO,22.60,,,,,0.5994,1.977,0.792,1.19,2.78,0.00924,3.16,2007-04-11
3373682,Y,Y,"       (2007 GQ3)",,APO,22.00,,,,,0.4507,1.805,0.991,10.19,2.42,0.0192,2.62,2007-04-11
3373684,Y,N,"       (2007 GT3)",,APO,19.70,,,,,0.9392,2.006,0.122,25.62,2.84,0.13,3.89,2007-04-11
3373917,Y,N,"       (2007 GS4)",,APO,21.20,,,,,0.2572,1.289,0.957,24.83,1.46,0.115,1.62,2007-04-11
