"spkid","neo","pha","full_name","diameter","class","H","G","albedo","BV","UB","e","a","q","i","per_y","moid","ad","first_obs"
20000433,Y,N,"   433 Eros (A898 PA)",16.84,AMO,10.42,0.46,0.25,0.921,0.531,0.2228,1.458,1.133,10.83,1.76,0.148,1.78,1893-10-29
20000719,Y,N,"   719 Albert (A911 TB)",,AMO,15.59,,,,,0.5470,2.636,1.194,11.58,4.28,0.201,4.08,1911-10-04
20000887,Y,N,"   887 Alinda (A918 AA)",4.2,AMO,13.88,-0.12,0.31,0.832,0.436,0.5709,2.472,1.061,9.40,3.89,0.0789,3.88,1918-02-03
20001036,Y,N,"  1036 Ganymed (A924 UB)",37.675,AMO,9.26,0.30,0.238,0.842,0.417,0.5329,2.666,1.245,26.69,4.35,0.345,4.09,1924-10-23
20001221,Y,N,"  1221 Amor (1932 EA1)",1.0,AMO,17.38,,,,,0.4357,1.919,1.083,11.88,2.66,0.105,2.76,1932-03-12
20001566,Y,Y,"  1566 Icarus (1949 MA)",1.0,APO,16.59,,0.51,0.774,0.520,0.8269,1.078,0.187,22.80,1.12,0.0338,1.97,1949-07-01
20001580,Y,N,"  1580 Betulia (1950 KA)",5.8,AMO,14.69,0.00,0.08,0.656,0.249,0.4870,2.198,1.127,52.15,3.26,0.136,3.27,1952-10-27
20001620,Y,Y,"  1620 Geographos (1951 RA)",2.56,APO,15.27,,0.290,0.862,0.471,0.3355,1.246,0.828,13.34,1.39,0.03,1.66,1951-09-14
20001627,Y,N,"  1627 Ivar (1929 SH)",9.12,AMO,12.84,0.60,0.15,0.872,0.459,0.3964,1.864,1.125,8.45,2.54,0.112,2.60,1929-09-25
20001685,Y,N,"  1685 Toro (1948 OA)",3.4,APO,14.32,,0.31,0.880,0.470,0.4361,1.368,0.771,9.38,1.6,0.0515,1.96,1948-07-17
20001862,Y,Y,"  1862 Apollo (1932 HA)",1.5,APO,16.09,0.09,0.25,0.819,0.481,0.5599,1.471,0.647,6.35,1.78,0.0261,2.29,1930-12-13
20001863,Y,N,"  1863 Antinous (1948 EA)",2.1,APO,15.46,,0.24,0.763,0.359,0.6059,2.26,0.891,18.39,3.4,0.184,3.63,1948-03-05
20001864,Y,N,"  1864 Daedalus (1971 FA)",3.7,APO,14.88,,0.273,0.830,0.500,0.6144,1.461,0.563,22.22,1.77,0.269,2.36,1971-03-24
20001865,Y,N,"  1865 Cerberus (1971 UA)",1.2,APO,16.79,,0.22,0.790,0.442,0.4669,1.08,0.576,16.10,1.12,0.156,1.58,1971-11-10
20001866,Y,N,"  1866 Sisyphus (1972 XA)",8.48,APO,12.55,,0.15,,,0.5382,1.894,0.875,41.21,2.61,0.103,2.91,1955-01-26
20001915,Y,N,"  1915 Quetzalcoatl (1953 EA)",0.5,AMO,18.05,0.10,0.21,0.784,0.430,0.5703,2.544,1.093,20.40,4.06,0.108,3.99,1953-03-09
20001916,Y,N,"  1916 Boreas (1953 RA)",3.5,AMO,14.95,,,0.852,0.407,0.4496,2.272,1.251,12.88,3.43,0.252,3.29,1953-09-01
20001917,Y,N,"  1917 Cuyo (1968 AA)",5.7,AMO,14.40,,0.195,,,0.5057,2.15,1.063,23.96,3.15,0.0719,3.24,1954-05-06
20001943,Y,N,"  1943 Anteros (1973 EC)",2.3,AMO,15.71,,0.17,0.841,0.444,0.2560,1.431,1.064,8.71,1.71,0.0616,1.80,1973-03-10
20001980,Y,N,"  1980 Tezcatlipoca (1950 LA)",4.3,AMO,13.87,,0.25,0.955,0.455,0.3647,1.71,1.086,26.87,2.24,0.245,2.33,1950-06-19
20001981,Y,Y,"  1981 Midas (1973 EA)",3.4,APO,15.28,,,,,0.6501,1.777,0.622,39.82,2.37,0.00314,2.93,1973-03-06
20002059,Y,N,"  2059 Baboquivari (1963 UA)",,AMO,15.98,,,,,0.5319,2.642,1.237,11.02,4.29,0.244,4.05,1963-10-16
20002061,Y,N,"  2061 Anza (1960 UA)",2.6,AMO,16.70,,,0.825,0.350,0.5359,2.265,1.051,3.80,3.41,0.0553,3.48,1960-10-22
20002062,Y,N,"  2062 Aten (1976 AA)",1.1,ATE,17.11,,0.26,0.930,0.460,0.1829,0.967,0.790,18.93,0.951,0.112,1.14,1955-12-17
20002063,Y,N,"  2063 Bacchus (1977 HB)",1.024,APO,17.23,,0.203,,,0.3494,1.078,0.701,9.43,1.12,0.0667,1.45,1977-04-24
20002100,Y,N,"  2100 Ra-Shalom (1978 RA)",2.3,ATE,16.23,0.12,0.13,0.712,0.310,0.4365,0.832,0.469,15.76,0.759,0.15,1.20,1975-10-03
20002101,Y,Y,"  2101 Adonis (1936 CA)",0.6,APO,18.72,,,,,0.7643,1.874,0.442,1.32,2.56,0.0115,3.31,1936-02-21
20002102,Y,Y,"  2102 Tantalus (1975 YA)",1.649,APO,15.97,,0.245,,,0.2993,1.29,0.904,64.00,1.47,0.0419,1.68,1975-12-30
20002135,Y,Y,"  2135 Aristaeus (1977 HA)",,APO,18.05,,,,,0.5028,1.6,0.795,23.07,2.02,0.00884,2.40,1977-04-17
20002201,Y,Y,"  2201 Oljato (1947 XC)",1.80,APO,15.36,,0.4328,,,0.7114,2.178,0.628,2.52,3.21,0.0029,3.73,1931-12-03
20002202,Y,N,"  2202 Pele (1972 RA)",,AMO,17.14,,,,,0.5127,2.291,1.116,8.74,3.47,0.144,3.47,1972-09-07
20002212,Y,N,"  2212 Hephaistos (1978 SB)",5.7,APO,13.51,,0.163,0.766,0.397,0.8374,2.161,0.351,11.54,3.18,0.116,3.97,1978-09-27
20002329,Y,N,"  2329 Orthos (1976 WA)",,APO,14.57,,,,,0.6536,2.41,0.835,24.47,3.74,0.094,3.98,1976-05-31
20002340,Y,Y,"  2340 Hathor (1976 UA)",0.3,ATE,20.43,,,0.770,0.500,0.4499,0.8438,0.464,5.86,0.775,0.00662,1.22,1976-10-25
20002368,Y,N,"  2368 Beltrovata (1977 RA)",2.3,AMO,15.18,,0.27,0.830,0.520,0.4134,2.105,1.235,5.22,3.06,0.233,2.98,1977-09-04
20002608,Y,N,"  2608 Seneca (1978 DA)",0.9,AMO,17.48,,0.21,0.826,0.454,0.5681,2.528,1.092,14.54,4.02,0.143,3.96,1978-02-17
20003102,Y,N,"  3102 Krok (1981 QA)",1.6,AMO,16.17,,,0.834,0.521,0.4496,2.151,1.184,8.44,3.15,0.183,3.12,1981-08-21
20003103,Y,N,"  3103 Eger (1982 BB)",1.5,APO,15.33,,0.64,0.732,0.235,0.3543,1.404,0.907,20.93,1.66,0.0791,1.90,1982-01-21
20003122,Y,Y,"  3122 Florence (1981 ET3)",4.9,AMO,14.10,,0.231,,,0.4231,1.769,1.020,22.14,2.35,0.0445,2.52,1979-03-09
20003199,Y,N,"  3199 Nefertiti (1982 RA)",2.2,AMO,15.03,,0.42,0.895,0.418,0.2842,1.575,1.127,32.96,1.98,0.216,2.02,1982-09-13
20003200,Y,Y,"  3200 Phaethon (1983 TB)",6.25,APO,14.40,,0.1066,,,0.8900,1.271,0.140,22.29,1.43,0.0196,2.40,1983-10-27
20003271,Y,N,"  3271 Ul (1982 RB)",,AMO,16.58,,,,,0.3959,2.101,1.269,25.07,3.05,0.276,2.93,1982-09-14
20003288,Y,N,"  3288 Seleucus (1982 DV)",2.8,AMO,15.35,,0.22,0.910,0.500,0.4562,2.033,1.106,5.93,2.9,0.101,2.96,1982-02-28
20003352,Y,N,"  3352 McAuliffe (1981 CW)",,AMO,15.97,,,,,0.3692,1.879,1.185,4.77,2.57,0.201,2.57,1981-02-06
20003360,Y,N,"  3360 Syrinx (1981 VA)",1.8,APO,16.04,,0.17,,,0.7455,2.467,0.628,21.14,3.87,0.108,4.31,1981-11-04
20003361,Y,Y,"  3361 Orpheus (1982 HR)",0.3,APO,19.56,,0.357,1.022,0.503,0.3229,1.21,0.820,2.66,1.33,0.0144,1.60,1982-04-24
20003362,Y,Y,"  3362 Khufu (1984 QA)",0.7,ATE,18.52,,0.21,,,0.4686,0.9895,0.526,9.92,0.984,0.0133,1.45,1984-08-30
20003551,Y,N,"  3551 Verenia (1983 RD)",0.9,AMO,16.71,,0.37,0.839,0.481,0.4873,2.092,1.073,9.51,3.03,0.0739,3.11,1983-09-07
20003552,Y,N,"  3552 Don Quixote (1983 SA)",19.0,AMO,13.07,,0.03,,,0.7078,4.265,1.246,31.09,8.81,0.339,7.28,1983-09-10
20003553,Y,N,"  3553 Mera (1985 JA)",,AMO,16.43,,,,,0.3201,1.644,1.118,36.78,2.11,0.293,2.17,1985-05-11
20003554,Y,N,"  3554 Amun (1986 EB)",3.341,ATE,15.91,,0.074,0.707,0.235,0.2806,0.974,0.701,23.36,0.961,0.25,1.25,1986-03-04
20003671,Y,Y,"  3671 Dionysus (1984 KD)",1.5,APO,16.52,,0.16,,,0.5410,2.2,1.009,13.53,3.26,0.0217,3.39,1984-05-27
20003691,Y,N,"  3691 Bede (1982 FT)",4.3,AMO,14.96,,0.515,,,0.2841,1.775,1.271,20.35,2.36,0.351,2.28,1975-06-09
20003752,Y,N,"  3752 Camillo (1985 PA)",2.306,APO,15.19,,0.210,,,0.3015,1.414,0.987,55.56,1.68,0.0771,1.84,1976-01-28
20003753,Y,N,"  3753 Cruithne (1986 TO)",2.071,ATE,15.48,,0.365,,,0.5149,0.9978,0.484,19.80,0.997,0.0707,1.51,1973-10-17
20003757,Y,Y,"  3757 Anagolay (1982 XB)",0.5,AMO,19.04,,0.18,0.859,0.522,0.4457,1.835,1.017,3.87,2.49,0.0363,2.65,1982-12-14
20003838,Y,N,"  3838 Epona (1986 WA)",,APO,15.73,,,,,0.7023,1.505,0.448,29.20,1.85,0.159,2.56,1986-11-30
20003908,Y,N,"  3908 Nyx (1980 PA)",1.0,AMO,17.46,,0.23,,,0.4594,1.928,1.042,2.19,2.68,0.0558,2.81,1980-08-06
20003988,Y,N,"  3988 Huma (1986 LA)",0.7,AMO,17.95,,,,,0.3167,1.544,1.055,10.77,1.92,0.178,2.03,1986-06-04
20004015,Y,Y,"  4015 Wilson-Harrington (1979 VA)",4,APO,16.18,,0.05,0.666,0.279,0.6316,2.625,0.967,2.80,4.25,0.0427,4.28,1949-11-19
20004034,Y,Y,"  4034 Vishnu (1986 PA)",0.42,APO,18.53,,0.52,,,0.4440,1.06,0.589,11.17,1.09,0.0194,1.53,1986-08-02
20004055,Y,N,"  4055 Magellan (1985 DO2)",2.49,AMO,14.96,,0.31,,,0.3262,1.82,1.226,23.26,2.46,0.239,2.41,1985-01-21
20004179,Y,Y,"  4179 Toutatis (1989 AC)",5.4,APO,15.31,0.10,0.405,,,0.6247,2.544,0.955,0.45,4.06,0.00653,4.13,1934-02-10
20004183,Y,Y,"  4183 Cuno (1959 LM)",3.651,APO,14.17,,0.097,,,0.6360,1.981,0.721,6.67,2.79,0.0284,3.24,1959-06-05
20004197,Y,N,"  4197 Morpheus (1982 TA)",1.8,APO,15.03,,0.37,,,0.7724,2.294,0.522,12.60,3.48,0.0984,4.07,1954-09-03
20004257,Y,N,"  4257 Ubasti (1987 QA)",,APO,16.04,,,,,0.4683,1.647,0.876,40.72,2.11,0.169,2.42,1987-08-23
20004341,Y,N,"  4341 Poseidon (1987 KF)",3.177,APO,16.08,,0.054,,,0.6800,1.834,0.587,11.84,2.48,0.194,3.08,1987-05-29
20004401,Y,N,"  4401 Aditi (1985 TB)",1.801,AMO,16.12,,0.343,,,0.5632,2.584,1.129,26.63,4.15,0.334,4.04,1985-10-14
20004450,Y,Y,"  4450 Pan (1987 SY)",,APO,17.28,,,,,0.5868,1.442,0.596,5.52,1.73,0.0283,2.29,1937-02-06
20004486,Y,Y,"  4486 Mithra (1987 SB)",1.849,APO,15.63,,0.297,,,0.6625,2.201,0.743,3.04,3.27,0.0462,3.66,1987-01-29
20004487,Y,N,"  4487 Pocahontas (1987 UA)",,AMO,17.49,,,,,0.2966,1.73,1.217,16.41,2.28,0.219,2.24,1987-09-24
20004503,Y,N,"  4503 Cleobulus (1989 WM)",,AMO,15.82,,,,,0.5244,2.703,1.286,2.51,4.45,0.304,4.12,1980-12-30
20004544,Y,N,"  4544 Xanthus (1989 FB)",1.3,APO,17.40,,,,,0.2502,1.042,0.781,14.14,1.06,0.174,1.30,1989-03-30
20004581,Y,Y,"  4581 Asclepius (1989 FC)",,APO,20.74,,,,,0.3569,1.023,0.658,4.92,1.03,0.00387,1.39,1989-03-31
20004596,Y,N,"  4596 (1981 QB)",,AMO,16.46,,,,,0.5200,2.24,1.075,37.07,3.35,0.296,3.40,1981-08-28
20004660,Y,Y,"  4660 Nereus (1982 DB)",0.33,APO,18.75,,0.55,,,0.3587,1.485,0.953,1.45,1.81,0.00426,2.02,1981-09-30
20004688,Y,N,"  4688 (1980 WF)",0.6,AMO,19.60,,0.18,0.930,0.463,0.5179,2.232,1.076,6.38,3.34,0.107,3.39,1980-11-29
20004769,Y,Y,"  4769 Castalia (1989 PB)",1.4,APO,17.51,,0.092,,,0.4832,1.063,0.549,8.88,1.1,0.0204,1.58,1989-08-01
20004947,Y,N,"  4947 Ninkasi (1988 TJ1)",,AMO,18.08,,,,,0.1685,1.37,1.139,15.65,1.6,0.149,1.60,1978-02-17
20004953,Y,Y,"  4953 (1990 MU)",,APO,14.95,,,,,0.6574,1.621,0.555,24.38,2.06,0.0248,2.69,1974-07-21
20004954,Y,N,"  4954 Eric (1990 SQ)",10.8,AMO,12.56,,0.176,,,0.4493,2.001,1.102,17.43,2.83,0.194,2.90,1975-06-07
20004957,Y,N,"  4957 Brucemurray (1990 XJ)",3.499,AMO,15.13,,0.132,,,0.2188,1.565,1.223,35.01,1.96,0.424,1.91,1976-03-11
20005011,Y,Y,"  5011 Ptah (6743 P-L)",,APO,16.70,,,,,0.5000,1.636,0.818,7.41,2.09,0.0242,2.45,1960-09-24
20005131,Y,N,"  5131 (1990 BG)",,APO,14.86,,,,,0.5690,1.486,0.641,36.43,1.81,0.275,2.33,1978-12-06
20005143,Y,N,"  5143 Heracles (1991 VL)",4.843,APO,14.07,,0.227,,,0.7713,1.835,0.420,8.98,2.49,0.0577,3.25,1953-11-30
20005189,Y,Y,"  5189 (1990 UQ)",,APO,17.84,,,,,0.4780,1.552,0.810,3.58,1.93,0.0447,2.29,1990-10-20
20005324,Y,N,"  5324 Lyapunov (1987 SL)",,AMO,15.35,,,,,0.6048,2.985,1.180,19.61,5.16,0.23,4.79,1987-09-19
20005332,Y,N,"  5332 Davidaguilar (1990 DA)",3.6,AMO,15.04,,,,,0.4555,2.163,1.178,25.52,3.18,0.305,3.15,1973-10-18
20005370,Y,N,"  5370 Taranis (1986 RA)",3.6,AMO,15.24,,0.037,,,0.6371,3.322,1.205,19.17,6.05,0.213,5.44,1986-08-11
20005381,Y,N,"  5381 Sekhmet (1991 JY)",0.935,ATE,16.75,,0.507,,,0.2964,0.9475,0.667,48.97,0.922,0.112,1.23,1991-05-14
20005496,Y,N,"  5496 (1973 NA)",,APO,16.15,,,,,0.6352,2.435,0.888,68.00,3.8,0.0918,3.98,1973-07-06
20005587,Y,N,"  5587 (1990 SB)",3.57,AMO,13.90,,0.32,,,0.5440,2.398,1.093,18.09,3.71,0.308,3.70,1953-12-07
20005590,Y,N,"  5590 (1990 VA)",,ATE,19.91,,,,,0.2796,0.9856,0.710,14.19,0.979,0.121,1.26,1990-11-09
20005604,Y,Y,"  5604 (1992 FE)",0.55,ATE,17.38,,0.48,,,0.4061,0.9286,0.551,4.71,0.895,0.034,1.31,1976-04-23
20005620,Y,N,"  5620 Jasonwheeler (1990 OA)",,AMO,17.12,,,,,0.4227,2.159,1.246,7.87,3.17,0.237,3.07,1955-05-16
20005626,Y,N,"  5626 Melissabrucker (1991 FE)",,AMO,14.35,,,,,0.4548,2.195,1.197,3.85,3.25,0.212,3.19,1970-09-08
20005645,Y,N,"  5645 (1990 SP)",1.668,APO,17.24,,0.121,,,0.3873,1.355,0.830,13.51,1.58,0.0542,1.88,1974-08-13
20005646,Y,N,"  5646 (1990 TR)",4.3,AMO,15.51,,0.223,,,0.4359,2.144,1.209,7.91,3.14,0.211,3.08,1990-05-03
20005653,Y,N,"  5653 Camarillo (1992 WD5)",1.537,AMO,16.23,,0.271,,,0.3044,1.794,1.248,6.88,2.4,0.282,2.34,1974-03-24
20005660,Y,N,"  5660 (1974 MA)",,APO,15.52,,,,,0.7620,1.785,0.425,38.13,2.39,0.162,3.15,1974-06-26
20005693,Y,Y,"  5693 (1993 EA)",,APO,16.79,,,,,0.5852,1.271,0.527,5.06,1.43,0.00598,2.01,1984-01-10
20005731,Y,N,"  5731 Zeus (1988 VP4)",5.231,APO,15.47,,0.031,,,0.6519,2.266,0.789,11.20,3.41,0.0644,3.74,1988-09-13
20005751,Y,N,"  5751 Zao (1992 AC)",2.3,AMO,14.96,,0.36,,,0.4253,2.101,1.208,16.07,3.05,0.239,2.99,1989-03-10
20005786,Y,N,"  5786 Talos (1991 RC)",,APO,17.19,,,,,0.8268,1.081,0.187,23.23,1.12,0.189,1.98,1991-09-03
20005797,Y,N,"  5797 Bivoj (1980 AA)",0.4,AMO,18.88,,,,,0.4443,1.894,1.052,4.19,2.61,0.0688,2.73,1980-01-16
20005828,Y,N,"  5828 (1991 AM)",1.457,APO,16.02,,0.331,,,0.6949,1.698,0.518,30.12,2.21,0.397,2.88,1982-11-13
20005836,Y,N,"  5836 (1993 MF)",2.754,AMO,15.00,,0.156,,,0.5364,2.441,1.132,7.95,3.81,0.184,3.75,1981-04-26
20005863,Y,N,"  5863 Tara (1983 RB)",1.345,AMO,15.85,,0.488,,,0.5055,2.223,1.099,19.49,3.31,0.236,3.35,1983-09-07
20005869,Y,N,"  5869 Tanith (1988 VN4)",,AMO,17.22,,,,,0.3211,1.812,1.230,17.93,2.44,0.31,2.39,1977-02-16
20005879,Y,N,"  5879 Almeria (1992 CH1)",,AMO,17.62,,,,,0.2891,1.625,1.155,21.57,2.07,0.166,2.09,1992-02-08
20006037,Y,Y,"  6037 (1988 EG)",,APO,18.88,,,,,0.4997,1.272,0.636,3.51,1.43,0.0239,1.91,1988-03-12
20006047,Y,N,"  6047 (1991 TB1)",,APO,17.84,,,,,0.3520,1.455,0.943,23.48,1.75,0.139,1.97,1985-03-20
20006050,Y,N,"  6050 Miwablock (1992 AE)",2.884,AMO,15.01,,0.257,,,0.4371,2.202,1.240,6.40,3.27,0.268,3.17,1953-02-15
20006053,Y,N,"  6053 (1993 BW3)",3.720,APO,15.10,,0.140,,,0.5287,2.147,1.012,21.58,3.15,0.222,3.28,1976-06-04
20006063,Y,N,"  6063 Jason (1984 KB)",1.4,APO,16.02,,0.21,,,0.7622,2.221,0.528,4.96,3.31,0.0763,3.91,1960-10-22
20006178,Y,N,"  6178 (1986 DA)",2.3,AMO,15.78,,0.15,0.677,0.267,0.5844,2.814,1.170,4.31,4.72,0.179,4.46,1977-07-17
20006239,Y,Y,"  6239 Minos (1989 QF)",,APO,18.61,,,,,0.4127,1.151,0.676,3.94,1.23,0.0262,1.63,1983-01-14
20006455,Y,N,"  6455 (1992 HE)",4.626,APO,14.10,,0.227,,,0.5726,2.24,0.958,37.34,3.35,0.289,3.52,1989-09-29
20006456,Y,N,"  6456 Golombek (1992 OM)",,AMO,16.07,,,,,0.4092,2.192,1.295,8.22,3.25,0.281,3.09,1979-08-22
20006489,Y,Y,"  6489 Golevka (1991 JX)",0.53,APO,19.22,,0.151,,,0.6125,2.486,0.963,2.27,3.92,0.0249,4.01,1991-04-15
20006491,Y,Y,"  6491 (1991 OA)",,AMO,18.72,,,,,0.5904,2.502,1.025,5.94,3.96,0.0429,3.98,1991-03-18
20006569,Y,N,"  6569 Ondaatje (1993 MO)",,AMO,16.68,,,,,0.2209,1.626,1.267,22.64,2.07,0.254,1.99,1983-12-29
20006611,Y,N,"  6611 (1993 VW)",1.408,APO,16.90,,0.158,,,0.4847,1.696,0.874,8.70,2.21,0.0597,2.52,1982-11-15
20007025,Y,N,"  7025 (1993 QA)",0.498,APO,18.08,,0.340,,,0.3149,1.476,1.011,12.61,1.79,0.0616,1.94,1993-08-16
20007088,Y,N,"  7088 Ishtar (1992 AA)",1.298,AMO,16.84,,0.260,,,0.3900,1.981,1.209,8.30,2.79,0.224,2.75,1981-03-03
20007092,Y,N,"  7092 Cadmus (1992 LC)",6.319,APO,15.13,,0.046,,,0.6938,2.546,0.780,17.79,4.06,0.101,4.31,1980-06-02
20007236,Y,N,"  7236 (1987 PA)",,AMO,18.32,,,,,0.5590,2.725,1.202,16.33,4.5,0.202,4.25,1987-08-01
20007335,Y,Y,"  7335 (1989 JA)",1.8,APO,17.70,,0.448,,,0.4846,1.772,0.913,15.17,2.36,0.0212,2.63,1989-04-06
20007336,Y,N,"  7336 Saunders (1989 RS1)",,AMO,18.91,,,,,0.4815,2.306,1.196,7.20,3.5,0.191,3.42,1982-10-20
20007341,Y,Y,"  7341 (1991 VK)",0.982,APO,16.96,,0.235,,,0.5061,1.841,0.909,5.41,2.5,0.0485,2.77,1991-09-12
20007350,Y,N,"  7350 (1993 VA)",1.921,APO,17.22,,0.069,,,0.3911,1.356,0.826,7.26,1.58,0.0812,1.89,1963-10-15
20007358,Y,N,"  7358 Oze (1995 YA3)",,AMO,14.75,,,,,0.5022,2.199,1.095,4.66,3.26,0.124,3.30,1959-12-02
20007474,Y,N,"  7474 (1992 TC)",,AMO,18.11,,,,,0.2922,1.566,1.108,7.09,1.96,0.167,2.02,1990-08-19
20007480,Y,N,"  7480 Norwan (1994 PC)",,AMO,17.24,,,,,0.3170,1.568,1.071,9.45,1.96,0.161,2.06,1982-05-01
20007482,Y,Y,"  7482 (1994 PC1)",1.052,APO,16.66,,0.277,,,0.3294,1.349,0.904,33.47,1.57,0.00156,1.79,1974-09-22
20007753,Y,Y,"  7753 (1988 XB)",,APO,18.02,,,,,0.4816,1.467,0.761,3.12,1.78,0.00647,2.17,1988-12-05
20007822,Y,Y,"  7822 (1991 CS)",1.602,APO,17.34,,0.075,,,0.1646,1.123,0.938,37.12,1.19,0.0223,1.31,1991-01-19
20007839,Y,N,"  7839 (1994 ND)",0.784,AMO,17.83,,0.181,,,0.5187,2.165,1.042,27.11,3.19,0.136,3.29,1994-07-03
20007888,Y,N,"  7888 (1993 UC)",2.298,APO,15.19,,0.257,,,0.6631,2.437,0.821,26.08,3.81,0.0875,4.05,1989-10-28
20007889,Y,N,"  7889 (1994 LX)",1.680,APO,15.33,,0.452,,,0.3462,1.262,0.825,36.91,1.42,0.156,1.70,1977-08-10
20007977,Y,N,"  7977 (1977 QQ5)",,AMO,15.19,,,,,0.4664,2.226,1.188,25.16,3.32,0.356,3.26,1955-03-23
20008013,Y,N,"  8013 Gordonmoore (1990 KA)",2.3,AMO,17.09,,,,,0.4313,2.201,1.251,7.57,3.26,0.247,3.15,1951-09-01
20008014,Y,Y,"  8014 (1990 MF)",0.7,APO,18.88,,,,,0.4562,1.747,0.950,1.87,2.31,0.0168,2.54,1990-06-14
20008034,Y,N,"  8034 Akka (1992 LR)",,AMO,18.02,,,,,0.4091,1.83,1.081,2.02,2.48,0.0734,2.58,1992-05-21
20008035,Y,N,"  8035 (1992 TB)",,APO,17.12,,,,,0.4626,1.342,0.721,28.31,1.55,0.274,1.96,1992-10-02
20008037,Y,N,"  8037 (1993 HO1)",,AMO,16.63,,,,,0.4173,1.987,1.158,5.91,2.8,0.201,2.82,1979-03-08
20008176,Y,N,"  8176 (1991 WA)",,APO,17.03,,,,,0.6431,1.575,0.562,39.59,1.98,0.193,2.59,1991-12-01
20008201,Y,N,"  8201 (1994 AH2)",1.859,APO,15.94,,0.154,,,0.7065,2.539,0.745,9.55,4.05,0.102,4.33,1981-12-16
20008507,Y,N,"  8507 (1991 CB1)",,APO,17.21,,,,,0.5945,1.687,0.684,14.59,2.19,0.22,2.69,1991-02-15
20008566,Y,Y,"  8566 (1996 EN)",1.568,APO,16.48,,0.217,,,0.4303,1.506,0.858,37.98,1.85,0.0217,2.15,1983-04-06
20008567,Y,N,"  8567 (1996 HW1)",2.928,AMO,15.38,,0.156,,,0.4495,2.045,1.126,8.45,2.92,0.121,2.96,1955-05-23
20008709,Y,N,"  8709 Kadlu (1994 JF1)",,AMO,17.07,,,,,0.4895,2.53,1.292,3.52,4.03,0.276,3.77,1990-09-23
20009058,Y,N,"  9058 (1992 JB)",,APO,17.93,,,,,0.3597,1.557,0.997,16.09,1.94,0.0835,2.12,1992-01-09
20009162,Y,N,"  9162 Kwiila (1987 OA)",1.127,APO,18.02,,0.088,,,0.5956,1.497,0.605,9.01,1.83,0.0806,2.39,1987-07-18
20009172,Y,N,"  9172 Abhramu (1989 OB)",,AMO,16.65,,,,,0.5529,2.71,1.212,7.84,4.46,0.252,4.21,1989-07-07
20009202,Y,N,"  9202 (1993 PB)",1.617,APO,16.12,,0.332,,,0.6077,1.424,0.559,40.80,1.7,0.375,2.29,1993-08-13
20009400,Y,N,"  9400 (1994 TW1)",3.698,AMO,14.86,,0.155,,,0.5809,2.587,1.084,36.00,4.16,0.284,4.09,1991-03-18
20009856,Y,Y,"  9856 (1991 EE)",1.0,APO,17.11,,0.3,,,0.6258,2.242,0.839,9.83,3.36,0.0222,3.64,1991-03-13
20009950,Y,N,"  9950 ESA (1990 VB)",,AMO,16.21,,,,,0.5329,2.439,1.139,14.59,3.81,0.28,3.74,1990-11-08
20010115,Y,Y," 10115 (1992 SK)",0.938,APO,17.15,,0.318,,,0.3248,1.249,0.843,15.32,1.4,0.0468,1.65,1953-10-12
20010145,Y,N," 10145 (1994 CK1)",,APO,17.01,,,,,0.6328,1.901,0.698,4.55,2.62,0.0628,3.10,1994-02-10
20010150,Y,N," 10150 (1994 PN)",,AMO,15.47,,,,,0.5440,2.375,1.083,45.95,3.66,0.226,3.67,1994-08-07
20010165,Y,N," 10165 (1995 BL2)",0.829,APO,17.43,,0.372,,,0.5037,1.235,0.613,23.90,1.37,0.376,1.86,1991-02-22
20010302,Y,N," 10302 (1989 ML)",,AMO,19.45,,,,,0.1369,1.273,1.099,4.38,1.44,0.0817,1.45,1989-06-06
20010563,Y,N," 10563 Izhdubar (1993 WD)",,APO,16.94,,,,,0.2663,1.007,0.739,63.47,1.01,0.144,1.27,1991-11-13
20010636,Y,N," 10636 (1998 QK56)",0.533,APO,17.70,,0.645,,,0.5127,1.884,0.918,13.58,2.59,0.11,2.85,1955-05-16
20010860,Y,N," 10860 (1995 LE)",,AMO,17.32,,,,,0.5743,2.579,1.098,4.15,4.14,0.113,4.06,1995-06-03
20011054,Y,N," 11054 (1991 FA)",,AMO,17.07,,,,,0.4467,1.979,1.095,3.08,2.78,0.122,2.86,1937-11-28
20011066,Y,N," 11066 Sigurd (1992 CC1)",2.104,APO,15.23,,0.190,,,0.3755,1.392,0.869,36.88,1.64,0.118,1.91,1976-04-01
20011284,Y,N," 11284 Belenus (1990 BA)",,AMO,18.25,,,,,0.3374,1.74,1.153,1.99,2.3,0.167,2.33,1950-12-09
20011311,Y,N," 11311 Peleus (1993 XN2)",,APO,15.92,,,,,0.5359,2.117,0.983,25.49,3.08,0.095,3.25,1993-12-10
20011398,Y,N," 11398 (1998 YP11)",1.316,AMO,16.41,,0.318,,,0.3895,1.72,1.050,15.02,2.26,0.202,2.39,1983-01-05
20011405,Y,N," 11405 (1999 CV3)",3.621,APO,15.27,,0.112,,,0.3941,1.459,0.884,22.86,1.76,0.118,2.03,1978-10-25
20011500,Y,Y," 11500 Tomaiyowit (1989 UR)",0.738,APO,18.37,,0.142,,,0.3558,1.08,0.696,10.31,1.12,0.0341,1.46,1989-10-25
20011885,Y,N," 11885 Summanus (1990 SS)",1.298,APO,18.52,,0.033,,,0.4745,1.703,0.895,19.43,2.22,0.0661,2.51,1990-09-25
