t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -4738769 -116152
50 -4668173 -1 379733827 101 -4704026 163348
100 -4668173 -1 379733827 101 -4511968 -16417
150 -4668173 -1 379733827 101 -4796976 -54126
200 -4668173 -1 379733827 101 -4633922 167367
250 -4668173 -1 379733827 101 -4547043 -85619
300 -4668173 -1 379733827 101 -4813026 26406
350 -4668173 -1 379733827 101 -4570082 140136
400 -4668173 -1 379733827 101 -4615414 -130230
450 -4668173 -1 379733826 101 -4787661 100274
500 -4668173 -1 379733826 101 -4524556 86914
550 -4668173 -1 379733826 101 -4700183 -132308
600 -4668173 -1 379733826 101 -4732907 150430
650 -4668173 -1 379733826 101 -4507381 16921
700 -4668173 -1 379733826 101 -4773379 -87632
750 -4668173 -1 379733826 101 -4664058 169094
800 -4668173 -1 379733826 101 -4525404 -56203
850 -4668173 -1 379733826 101 -4810224 -12096
900 -4668173 -1 379733825 101 -4595737 155287
950 -4668173 -1 379733825 101 -4579351 -114341
1000 -4668173 -1 379733825 101 -4802876 68044
1050 -4668173 -1 379733825 101 -4540784 112747
1100 -4668173 -1 379733825 101 -4659125 -137813
1150 -4668173 -1 379733825 101 -4759352 130843
1200 -4668173 -1 379733824 101 -4510017 49061
1250 -4668173 -1 379733824 101 -4741374 -114375
1300 -4668173 -1 379733824 101 -4694584 164269
1350 -4668173 -1 379733824 101 -4511652 -24225
1400 -4668173 -1 379733824 101 -4797592 -50171
1450 -4668173 -1 379733823 101 -4624107 164690
1500 -4668173 -1 379733823 101 -4549463 -91238
1550 -4668173 -1 379733823 101 -4810634 31484
1600 -4668173 -1 379733823 101 -4561740 134161
1650 -4668173 -1 379733823 101 -4619019 -132780
1700 -4668173 -1 379733822 101 -4781861 104793
1750 -4668173 -1 379733822 101 -4519140 78817
1800 -4668173 -1 379733822 101 -4703426 -131868
1850 -4668173 -1 379733821 101 -4724357 152654
1900 -4668173 -1 379733821 101 -4505562 8456
1950 -4668173 -1 379733821 101 -4775103 -84739
2000 -4668173 -1 379733821 101 -4654282 167916
2050 -4668173 -1 379733820 101 -4526833 -63185
2100 -4668173 -1 379733820 101 -4809395 -7541
2150 -4668173 -1 379733820 101 -4586607 150553
2200 -4668173 -1 379733819 101 -4582743 -118512
2250 -4668173 -1 379733819 101 -4798732 72865
