t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -4730495 -120793
50 -4668173 -1 379733827 101 -4715226 160500
100 -4668173 -1 379733827 101 -4511233 -5713
150 -4668173 -1 379733827 101 -4793102 -62621
200 -4668173 -1 379733827 101 -4645233 169312
250 -4668173 -1 379733827 101 -4541755 -77468
300 -4668173 -1 379733827 101 -4814515 17030
350 -4668173 -1 379733827 101 -4579433 146227
400 -4668173 -1 379733827 101 -4607470 -126628
450 -4668173 -1 379733826 101 -4793816 92671
500 -4668173 -1 379733826 101 -4530377 95751
550 -4668173 -1 379733826 101 -4692393 -133918
600 -4668173 -1 379733826 101 -4742053 146315
650 -4668173 -1 379733826 101 -4508845 26562
700 -4668173 -1 379733826 101 -4768417 -93388
750 -4668173 -1 379733826 101 -4674169 169143
800 -4668173 -1 379733826 101 -4522658 -47930
850 -4668173 -1 379733826 101 -4809580 -19741
900 -4668173 -1 379733825 101 -4604865 159252
950 -4668173 -1 379733825 101 -4573640 -109334
1000 -4668173 -1 379733825 101 -4806563 60938
1050 -4668173 -1 379733825 101 -4547354 119626
1100 -4668173 -1 379733825 101 -4652582 -137053
1150 -4668173 -1 379733825 101 -4766280 126126
1200 -4668173 -1 379733824 101 -4513061 57301
1250 -4668173 -1 379733824 101 -4736302 -117490
1300 -4668173 -1 379733824 101 -4703110 162925
1350 -4668173 -1 379733824 101 -4511011 -16459
1400 -4668173 -1 379733824 101 -4795608 -55661
1450 -4668173 -1 379733823 101 -4632485 166835
1500 -4668173 -1 379733823 101 -4545906 -85659
1550 -4668173 -1 379733823 101 -4812257 25560
1600 -4668173 -1 379733823 101 -4568455 139168
1650 -4668173 -1 379733823 101 -4614125 -130454
1700 -4668173 -1 379733822 101 -4786599 100177
1750 -4668173 -1 379733822 101 -4523154 85494
1800 -4668173 -1 379733822 101 -4699053 -132800
1850 -4668173 -1 379733821 101 -4731046 150503
1900 -4668173 -1 379733821 101 -4506506 15289
1950 -4668173 -1 379733821 101 -4772680 -87994
2000 -4668173 -1 379733821 101 -4661476 168650
2050 -4668173 -1 379733820 101 -4525138 -57697
2100 -4668173 -1 379733820 101 -4809603 -11767
2150 -4668173 -1 379733820 101 -4592926 153893
2200 -4668173 -1 379733819 101 -4579571 -115399
