   117 Lomia             7.95  0.15 0.040  154.0
   118 Peitho            9.14  0.15 0.200   45.0
   119 Althaea           8.42  0.15 0.170   60.0
   120 Lachesis          7.75  0.15 0.045  178.0
   121 Hermione          7.31  0.15 0.042  216.0
   122 Gerda             7.87  0.15 0.200   86.0
   123 Brunhild          8.89  0.15 0.190   49.0
   124 Alkeste           8.11  0.19 0.150   79.0
   125 Liberatrix        9.04  0.33 0.180   47.0
   126 Velleda           9.27  0.15 0.150   46.0
   127 Johanna           8.30  0.15 0.010  290.8
   128 Nemesis           7.49  0.15 0.045  194.0
   129 Antigone          7.07  0.33 0.170  124.0
   130 Elektra           7.12  0.15 0.089  188.0
   131 Vala             10.03  0.15 0.095   43.0
   132 Aethra            9.21  0.15 0.140   46.0
   133 Cyrene            7.98  0.13 0.210   69.0
   134 Sophrosyne        8.76  0.28 0.041  121.0
   135 Hertha            8.23  0.15 0.130   81.0
   136 Austria           9.69  0.15 0.130   41.0
   137 Meliboea          8.05  0.15 0.048  150.0
   138 Tolosa            8.75  0.15 0.180   47.0
   139 Juewa             7.78  0.15 0.051  162.0
   140 Siwa              8.34  0.15 0.071  114.0
   141 Lumen             8.20  0.15 0.036  135.0
   142 Polana           10.27  0.15 0.042   57.0
   143 Adria             9.12  0.15 0.041   92.0
   144 Vibilia           7.91  0.17 0.059  146.0
   145 Adeona            8.13  0.15 0.044  154.0
   146 Lucina            8.20  0.11 0.052  136.0
   147 Protogeneia       8.27  0.15 0.029  137.0
   148 Gallia            7.63  0.15 0.140  104.0
   149 Medusa           10.72  0.15 0.150   22.0
   150 Nuwa              8.23  0.15 0.034  157.0
   151 Abundantia        9.24  0.15 0.140   46.0
   152 Atala             8.33  0.15 0.010  286.8
   153 Hilda             7.48  0.15 0.060  175.0
   154 Bertha            7.58  0.15 0.070  191.0
   155 Scylla           11.39  0.15 0.021   49.0
   156 Xanthippe         8.64  0.15 0.040  126.0
   157 Dejanira         10.60  0.15 0.150   19.0
   158 Koronis           9.27  0.15 0.170   39.0
   159 Aemilia           8.12  0.15 0.061  131.0
   160 Una               9.08  0.15 0.059   84.0
   161 Athor             9.15  0.13 0.120   45.0
   162 Laurentia         8.83  0.15 0.047  105.0
   163 Erigone           9.47 -0.04 0.047   76.0
   164 Eva               8.89  0.15 0.053  109.0
   165 Loreley           7.65  0.15 0.069  160.0
   166 Rhodope           9.89  0.15 0.010  139.8
   167 Urda              9.24  0.15 0.210   42.0
   168 Sibylla           7.94  0.15 0.050  153.0
   169 Zelia             9.56  0.15 0.190   36.0
   170 Maria             9.39  0.15 0.140   46.0
   171 Ophelia           8.31  0.15 0.053  121.0
   172 Baucis            8.79  0.15 0.120   64.0
   173 Ino               7.66  0.01 0.053  159.0
   174 Phaedra           8.48  0.15 0.140   71.0
   175 Andromache        8.31  0.15 0.065  107.0
   176 Iduna             7.90  0.15 0.053  124.0
   177 Irma              9.49  0.15 0.048   75.0
   178 Belisana          9.38  0.15 0.210   37.0
   179 Klytaemnestra     8.15  0.15 0.140   80.0
   180 Garumna          10.31  0.15 0.110   32.0
   181 Eucharis          7.84  0.15 0.120  107.0
   182 Elsa              9.12  0.15 0.160   45.0
   183 Istria            9.68  0.15 0.160   35.0
   184 Dejopeja          8.31  0.15 0.180   68.0
   185 Eunike            7.62  0.15 0.053  164.0
   186 Celuta            8.91  0.15 0.150   52.0
   187 Lamberta          8.16  0.15 0.053  135.0
   188 Menippe           9.22  0.15 0.190   41.0
   189 Phthia            9.33  0.15 0.180   38.0
   190 Ismene            7.59  0.15 0.010  403.3
   191 Kolga             9.07  0.15 0.041  105.0
   192 Nausikaa          7.13  0.03 0.210  107.0
   193 Ambrosia          9.68  0.15 0.010  154.0
   194 Prokne            7.68  0.15 0.050  174.0
   195 Eurykleia         9.01  0.15 0.053   89.0
   196 Philomela         6.54  0.15 0.180  145.0
   197 Arete             9.18  0.15 0.270   32.0
   198 Ampella           8.33  0.15 0.190   58.0
   199 Byblis            8.30  0.15 0.130   62.0
   200 Dynamene          8.26  0.15 0.053  132.0
   201 Penelope          8.43  0.24 0.140   70.0
   202 Chryseis          7.42  0.15 0.170   85.0
   203 Pompeja           8.76  0.15 0.029  120.0
   204 Kallisto          8.89  0.15 0.170   50.0
   205 Martha            9.23  0.15 0.061   83.0
   206 Hersilia          8.68  0.15 0.010  244.1
   207 Hedda             9.92  0.15 0.050   60.0
   208 Lacrimosa         8.96  0.15 0.210   44.0
   209 Dido              8.24  0.15 0.044  148.0
   210 Isabella          9.33  0.15 0.041   89.0
   211 Isolda            7.89  0.12 0.059  147.0
   212 Medea             8.28  0.15 0.046  139.0
   213 Lilaea            8.64  0.15 0.072   84.0
   214 Aschera           9.50  0.51 0.400   26.0
   215 Oenone            9.59  0.15 0.180   37.0
   216 Kleopatra         7.30  0.29 0.088  139.0
   217 Eudora            9.80  0.15 0.010  145.7
   218 Bianca            8.60  0.32 0.150   61.0
   219 Thusnelda         9.32  0.15 0.150   43.0
   220 Stephania        11.00  0.15 0.066   30.0
   221 Eos               7.67  0.13 0.120  109.0
   222 Lucia             9.13  0.15 0.082   57.0
   223 Rosa              9.68  0.15 0.022   90.0
   224 Oceana            8.59  0.15 0.010  254.4
   225 Henrietta         8.72  0.15 0.041  124.0
   226 Weringia          9.70  0.15 0.130   39.0
   227 Philosophia       8.70  0.15 0.056   89.0
   228 Agathe           12.48  0.15 0.120   10.0
   229 Adelinda          9.13  0.15 0.037   95.0
   230 Athamantis        7.35  0.27 0.140  112.0
   231 Vindobona         9.20  0.15 0.042   84.0
   232 Russia           10.25  0.15 0.045   55.0
   233 Asterope          8.21  0.15 0.073  107.0
   234 Barbara           9.02  0.15 0.220   44.0
   235 Carolina          8.82  0.15 0.150   60.0
   236 Honoria           8.18 -0.02 0.100   90.0
   237 Coelestina        9.24  0.15 0.150   44.0
   238 Hypatia           8.18  0.15 0.032  155.0
   239 Adrastea         10.30  0.15 0.054   42.0
   240 Vanadis           9.00  0.15 0.039  107.0
   241 Germania          7.58  0.15 0.062  168.0
   242 Kriemhild         9.20  0.15 0.140   41.0
   243 Ida               9.94  0.15 0.160   32.0
   244 Sita             12.20  0.15 0.100   13.0
   245 Vera              7.82  0.15 0.160   84.0
   246 Asporina          8.62  0.15 0.130   63.0
   247 Eukrate           8.04  0.15 0.059  137.0
   248 Lameia           10.21  0.15 0.057   51.0
   249 Ilse             11.33  0.15 0.041   37.0
   250 Bettina           7.58  0.15 0.180   85.0
   251 Sophia           10.00  0.15 0.170   31.0
   252 Clementina        9.10  0.15 0.052   72.0
   253 Mathilde         10.20  0.15 0.036   60.0
   254 Augusta          12.13  0.15 0.130   14.0
   255 Oppavia          10.39  0.15 0.038   58.0
   256 Walpurga          9.80  0.15 0.044   66.0
   257 Silesia           9.47  0.15 0.070   73.0
   258 Tyche             8.50  0.23 0.150   67.0
   259 Aletheia          7.76  0.15 0.037  184.0
   260 Huberta           8.97  0.15 0.034  101.0
   261 Prymno            9.44  0.19 0.100   52.0
   262 Valda            11.67  0.15 0.010   61.6
   263 Dresda           10.40  0.15 0.140   27.0
   264 Libussa           8.42  0.15 0.270   53.0
   265 Anna             11.20  0.15 0.054   30.0
   266 Aline             8.80  0.15 0.054  113.0
   267 Tirza            10.50  0.15 0.034   53.0
   268 Adorea            8.28  0.15 0.038  142.0
   269 Justitia          9.50  0.15 0.068   54.0
   270 Anahita           8.75  0.15 0.190   52.0
   271 Penthesilea       9.80  0.15 0.058   61.0
   272 Antonia          10.70  0.15 0.100   28.0
   273 Atropos          10.26  0.15 0.120   32.0
   274 Philagoria       10.10  0.15 0.170   30.0
   275 Sapientia         8.85  0.15 0.036  121.0
   276 Adelheid          8.56  0.15 0.041  127.0
   277 Elvira            9.84  0.15 0.210   29.0
   278 Paulina           9.40  0.15 0.210   38.0
   279 Thule             8.57  0.15 0.030  134.0
   280 Philia           10.70  0.15 0.033   48.0
   281 Lucretia         12.02  0.28 0.140   13.0
   282 Clorinde         10.91  0.15 0.043   40.0
   283 Emma              8.72  0.15 0.025  150.0
   284 Amalia           10.05  0.11 0.055   54.0
   285 Regina           10.50  0.15 0.037   48.0
   286 Iclea             8.98  0.15 0.043   96.0
   287 Nephthys          8.30  0.22 0.160   70.0
   288 Glauke            9.84  0.15 0.110   37.0
   289 Nenetta           9.51  0.15 0.140   41.0
   290 Bruna            11.50  0.15 0.010   66.6
   291 Alice            11.45  0.15 0.140   17.0
   292 Ludovica          9.50  0.15 0.110   34.0
   293 Brasilia          9.94  0.15 0.055   57.0
   294 Felicia           9.60  0.15 0.045   59.0
   295 Theresia         10.19  0.15 0.150   30.0
   296 Phaetusa         12.62  0.15 0.010   39.8
   297 Caecilia          9.50  0.15 0.140   45.0
   298 Baptistina       11.00  0.15 0.010   83.9
   299 Thora            11.40  0.15 0.081   21.0
   300 Geraldina         9.60  0.15 0.033   78.0
   301 Bavaria          10.10  0.15 0.056   55.0
   302 Clarissa         10.89  0.15 0.045   40.0
   303 Josephina         8.70  0.15 0.047  102.0
   304 Olga              9.74  0.07 0.047   68.0
   305 Gordonia          8.77  0.15 0.160   50.0
   306 Unitas            8.96  0.15 0.170   49.0
   307 Nike             10.12  0.15 0.053   57.0
   308 Polyxo            8.17  0.21 0.043  147.0
   309 Fraternitas      10.40  0.15 0.037   54.0
   310 Margarita        10.30  0.15 0.087   36.0
   311 Claudia           9.89  0.15 0.200   27.0
   312 Pierretta         8.89  0.15 0.180   51.0
   313 Chaldaea          8.90  0.15 0.050  100.0
   314 Rosalia           9.50  0.15 0.057   61.0
   315 Constantia       13.20  0.15 0.010   30.5
   316 Goberta           9.80  0.15 0.018   49.0
   317 Roxane           10.03  0.15 0.290   22.0
   318 Magdalena         9.40  0.15 0.010  175.2
   319 Leona             9.80  0.15 0.028   73.0
   320 Katharina        10.70  0.15 0.010   96.3
   321 Florentina       10.04  0.15 0.150   31.0
   322 Phaeo             9.01  0.15 0.080   73.0
   323 Brucia            9.73  0.15 0.160   37.0
   324 Bamberga          6.82  0.09 0.057  241.0
   325 Heidelberga       8.65  0.15 0.073   77.0
   326 Tamara            9.36  0.15 0.039   99.0
   327 Columbia         10.10  0.15 0.110   35.0
   328 Gudrun            8.60  0.15 0.028  120.0
   329 Svea              9.66  0.15 0.037   80.0
   330 Adalberta        12.60  0.15 0.010   40.1
   331 Etheridgea        9.62  0.15 0.040   78.0
   332 Siri              9.50  0.15 0.170   44.0
   333 Badenia           9.46  0.15 0.042   81.0
   334 Chicago           7.64  0.15 0.064  169.0
   335 Roberta           8.96  0.15 0.053   93.0
   336 Lacadiera         9.76  0.15 0.042   71.0
   337 Devosa            8.74  0.19 0.130   63.0
   338 Budrosa           8.50  0.15 0.170   62.0
   339 Dorothea          9.24  0.15 0.160   43.0
   340 Eduarda           9.90  0.15 0.110   32.0
   341 California       10.55  0.15 0.260   16.0
   342 Endymion         10.22  0.15 0.036   64.0
   343 Ostara           11.56  0.15 0.099   20.0
   344 Desiderata        8.08  0.15 0.053  138.0
   345 Tercidina         8.71  0.10 0.056   99.0
   346 Hermentaria       7.13  0.15 0.130  109.0
   347 Pariana           8.90  0.15 0.140   54.0
   348 May               9.40  0.15 0.036   88.0
   349 Dembowska         5.93  0.37 0.340  143.0
   350 Ornamenta         8.37  0.15 0.047  123.0
   351 Yrsa              8.98  0.15 0.200   44.0
   352 Gisela           10.01  0.15 0.310   22.0
   353 Ruperto-Carola   11.00  0.15 0.010   83.9
   354 Eleonora          6.44  0.37 0.190  162.0
   355 Gabriella        10.40  0.15 0.160   25.0
   356 Liguria           8.22  0.15 0.062  134.0
   357 Ninina            8.72  0.15 0.048  110.0
   358 Apollonia         9.10  0.15 0.050   91.0
   359 Georgia           8.86  0.15 0.150   47.0
   360 Carlova           8.48  0.15 0.052  121.0
   361 Bononia           8.22  0.15 0.039  148.0
   362 Havnia            9.00  0.15 0.010  210.7
   363 Padua             9.01  0.15 0.010  209.7
   364 Isara             9.86  0.15 0.200   31.0
   365 Corduba           9.18  0.15 0.029  110.0
   366 Vincentina        8.50  0.15 0.076   97.0
   367 Amicitia         10.70  0.15 0.140   22.0
   368 Haidea            9.93  0.15 0.032   74.0
   369 Aeria             8.52  0.15 0.170   62.0
   370 Modestia         10.68  0.15 0.010   97.2
   371 Bohemia           8.72  0.15 0.160   56.0
   372 Palma             7.20  0.15 0.054  194.0
   373 Melusina          9.13  0.15 0.038   99.0
   374 Burgundia         8.67  0.15 0.190   48.0
   375 Ursula            7.47  0.27 0.010  426.2
   376 Geometria         9.49  0.15 0.220   36.0
   377 Campania          8.89  0.15 0.051   94.0
   378 Holmia            9.80  0.15 0.170   31.0
   379 Huenna            8.87  0.15 0.045   95.0
   380 Fiducia           9.42  0.15 0.051   76.0
   381 Myrrha            8.25  0.15 0.045  124.0
   382 Dodona            8.77  0.15 0.130   60.0
   383 Janina            9.91  0.15 0.072   49.0
   384 Burdigala         9.64  0.15 0.160   38.0
   385 Ilmatar           7.49  0.15 0.200   93.0
   386 Siegena           7.43  0.16 0.063  173.0
   387 Aquitania         7.41  0.15 0.160  106.0
   388 Charybdis         8.57  0.07 0.053  120.0
   389 Industria         7.88  0.15 0.200   81.0
   390 Alma             10.39  0.15 0.190   26.0
   391 Ingeborg         10.10  0.15 0.010  126.9
   392 Wilhelmina        9.70  0.15 0.051   64.0
   393 Lampetia          8.39  0.15 0.069  106.0
   394 Arduina           9.66  0.15 0.160   36.0
   395 Delia            10.38  0.15 0.041   54.0
   396 Aeolia            9.90  0.15 0.170   34.0
   397 Vienna            9.31  0.15 0.150   45.0
   398 Admete           10.30  0.15 0.045   50.0
   399 Persephone        9.00  0.15 0.140   52.0
   400 Ducrosa          10.10  0.15 0.140   34.0
   401 Ottilia           9.10  0.15 0.030  103.0
   402 Chloe             9.02  0.15 0.120   57.0
   403 Cyane             9.10  0.15 0.120   51.0
   404 Arsinoe           9.01  0.15 0.041  101.0
   405 Thia              8.46  0.15 0.045  129.0
   406 Erna             10.36  0.15 0.043   53.0
   407 Arachne           8.88  0.15 0.050   97.0
   408 Fama              9.50  0.15 0.120   45.0
   409 Aspasia           7.62  0.29 0.057  167.0
   410 Chloris           8.30  0.15 0.054  127.0
   411 Xanthe            8.90  0.15 0.066   79.0
   412 Elisabetha        9.00  0.15 0.043   93.0
   413 Edburga          10.18  0.15 0.120   34.0
   414 Liriope           9.49  0.15 0.047   75.0
   415 Palatia           9.21  0.15 0.049   79.0
   416 Vaticana          7.89  0.20 0.150   89.0
   417 Suevia            9.34  0.15 0.170   43.0
   418 Alemannia         9.77  0.15 0.130   38.0
   419 Aurelia           8.42  0.15 0.044  132.0
   420 Bertholda         8.31  0.15 0.038  146.0
   421 Zahringia        11.78  0.15 0.010   58.6
   422 Berolina         10.83  0.15 0.010   90.7
   423 Diotima           7.24  0.15 0.038  216.0
   424 Gratia            9.80  0.15 0.030   90.0
   425 Cornelia          9.90  0.15 0.046   66.0
   426 Hippo             8.42  0.15 0.037  133.0
   427 Galene            9.80  0.15 0.260   33.0
   428 Monachia         11.74  0.01 0.067   21.0
   429 Lotis             9.82  0.15 0.044   70.0
   430 Hybris           10.30  0.15 0.100   34.0
   431 Nephele           8.72  0.15 0.048   97.0
   432 Pythia            8.84  0.15 0.170   48.0
   433 Eros             11.16  0.46 0.010   77.9
   434 Hungaria         11.21  0.15 0.010   76.1
   435 Ella             10.23  0.15 0.077   42.0
   436 Patricia          9.80  0.15 0.048   62.0
   437 Rhodia           10.41  0.15 0.560   14.0
   438 Zeuxo             9.80  0.15 0.045   63.0
   439 Ohio              9.83  0.15 0.036   79.0
   440 Theodora         11.50  0.15 0.010   66.6
   441 Bathilde          8.51  0.15 0.140   73.0
   442 Eichsfeldia      10.03  0.15 0.044   67.0
   443 Photographica    10.28  0.15 0.170   28.0
   444 Gyptis            7.83  0.22 0.044  169.0
   445 Edna              9.29  0.15 0.044   89.0
   446 Aeternitas        8.90  0.15 0.350   42.0
   447 Valentine         8.99  0.15 0.052   81.0
   448 Natalie          10.30  0.15 0.050   49.0
   449 Hamburga          9.47  0.15 0.031   88.0
   450 Brigitta         10.28  0.15 0.099   35.0
   451 Patientia         6.65  0.19 0.073  229.0
   452 Hamiltonia       11.20  0.15 0.010   76.5
   453 Tea              10.86  0.15 0.140   24.0
   454 Mathesis          9.20  0.15 0.059   84.0
   455 Bruchsalia        8.86  0.15 0.060   87.0
   456 Abnoba            9.20  0.15 0.100   43.0
